IdAdresse,NumVoie,BTQ,IdVoie,CodeCommune
0,190.0,A,0,350
1,17.0,,0,104
2,17.0,,0,69
3,2.0,B,0,69
4,35.0,,0,69
5,46.0,,0,69
6,10.0,,0,95
7,433.0,,0,284
8,8.0,,1,354
9,22.0,,1,8
10,35.0,,1,191
11,33.0,,1,354
12,48.0,,1,160
13,13.0,,1,278
14,369.0,,2,202
15,1709.0,,2,296
16,67.0,,2,299
17,174.0,,2,244
18,9001.0,,2,115
19,44.0,,2,204
20,4.0,,2,92
21,88.0,B,2,51
22,73.0,,2,589
23,73.0,T,2,428
24,399.0,,2,224
25,125.0,,2,244
26,58.0,B,2,92
27,4.0,,2,24
28,10.0,,2,153
29,1.0,,2,100
30,19.0,,2,311
31,369.0,,2,224
32,46.0,,2,75
33,2.0,,2,60
34,223.0,,2,51
35,2.0,,2,256
36,8.0,,2,409
37,145.0,,2,75
38,74.0,,2,63
39,4.0,,2,43
40,95.0,,2,244
41,351.0,,2,259
42,5721.0,,2,6
43,8.0,,2,12
44,1.0,,2,264
45,93.0,,2,133
46,9.0,,2,409
47,149.0,,2,51
48,59.0,,2,63
50,59.0,,2,299
51,707.0,,2,126
52,7.0,,2,411
53,27.0,,2,194
54,162.0,,2,244
55,18.0,,2,51
56,12.0,,2,481
57,94.0,,2,428
58,15.0,,3,691
59,16.0,,4,112
60,7.0,,5,149
61,39.0,,6,88
62,31.0,,6,88
64,46.0,,6,88
65,24.0,,7,88
66,3.0,,8,88
67,8.0,B,8,88
68,8.0,,8,88
69,220.0,,9,88
70,308.0,,9,88
71,164.0,,9,88
72,65.0,,9,88
73,128.0,,9,88
74,66.0,,9,88
75,18.0,,9,147
76,175.0,,9,88
77,85.0,,9,88
78,3.0,,9,88
80,8.0,,9,109
81,83.0,,9,88
82,103.0,,9,88
83,8.0,,9,147
84,101.0,,10,155
85,108.0,,10,155
86,230.0,,10,155
88,115.0,,10,328
89,62.0,,10,549
90,47.0,,10,34
92,135.0,,10,155
93,3.0,,10,214
94,57.0,,10,155
95,54.0,,10,549
96,571.0,,11,4
97,1039.0,,11,4
98,808.0,,11,4
99,215.0,,11,4
100,13.0,,12,4
101,29.0,T,12,4
102,3.0,,13,155
103,2.0,,13,132
105,71.0,,14,4
106,96.0,,14,4
107,93.0,,14,4
108,69.0,,14,4
110,11.0,,14,4
111,120.0,,14,4
112,73.0,,14,4
113,80.0,,14,4
114,5.0,,15,25
115,251.0,,16,123
117,9.0,,16,208
118,5.0,,16,585
119,4.0,,16,208
121,1.0,,16,208
122,42.0,,17,27
123,77.0,,17,27
124,85.0,,17,27
125,102.0,,17,27
126,81.0,B,17,27
127,73.0,,17,27
128,393.0,,18,123
129,27.0,,19,324
130,113.0,,20,324
131,42.0,B,20,244
134,29.0,,20,17
138,64.0,,20,62
140,210.0,,20,7
141,66.0,,20,7
142,4.0,,20,71
143,54.0,,20,244
144,51.0,B,20,244
145,1.0,B,21,362
146,7.0,,21,288
147,25.0,,21,106
148,32.0,,21,106
149,45.0,,21,106
150,3.0,,21,288
152,34.0,,21,106
153,18.0,,21,106
154,36.0,,21,413
155,20.0,,21,351
156,38.0,,21,106
157,135.0,,22,214
158,35.0,,22,214
159,44.0,,23,201
160,5.0,,23,201
162,12.0,,24,201
163,9.0,,25,207
165,23.0,,25,105
166,17.0,,25,64
167,33.0,,25,113
168,13.0,,25,301
169,2.0,,25,191
170,40.0,,25,113
171,4.0,,25,689
172,67.0,,25,113
173,47.0,,25,113
174,29.0,,25,185
175,26.0,,26,86
176,8.0,,26,83
178,43.0,,26,9
179,3.0,,26,18
180,5.0,B,26,18
181,21.0,,26,34
182,260.0,,26,29
183,126.0,,26,358
184,37.0,,26,9
185,27.0,,26,69
186,8.0,,26,34
187,65.0,,26,75
189,18.0,,26,358
190,24.0,,26,107
191,10.0,,26,166
192,701.0,,26,30
193,93.0,,26,358
194,9.0,,26,32
195,26.0,,26,83
196,70.0,,26,32
197,137.0,,26,34
198,257.0,,27,28
199,83.0,,28,209
203,75.0,,28,209
211,151.0,,29,28
212,106.0,,29,30
213,32.0,,29,80
214,200.0,,29,29
215,20.0,,29,80
216,44.0,,29,30
217,76.0,,29,30
218,73.0,,29,21
219,15.0,,29,322
220,100.0,,29,30
221,11.0,,29,288
222,34.0,,29,14
224,186.0,,29,29
225,5.0,,29,189
226,167.0,,29,28
227,12.0,,29,80
228,2.0,,29,14
229,146.0,,29,294
230,58.0,,29,14
231,10.0,,31,86
232,10.0,,32,212
233,9.0,,32,520
234,32.0,,32,4
235,8.0,,33,63
236,78.0,,33,47
237,10.0,,33,88
238,96.0,B,33,123
239,75.0,,33,44
240,71.0,,33,46
241,13.0,,33,323
242,64.0,,33,382
243,12.0,,33,76
245,8.0,,33,86
246,22.0,,33,71
247,4.0,,33,108
248,44.0,,33,893
249,116.0,,33,73
250,45.0,,33,44
251,16.0,,33,44
252,29.0,B,33,73
253,21.0,,33,323
254,19.0,,33,50
255,27.0,,33,10
256,15.0,,33,500
257,36.0,,33,22
258,77.0,,33,44
259,5.0,,33,598
260,2.0,,33,522
261,11.0,,33,445
262,11.0,,33,44
263,18.0,,33,687
264,27.0,,33,41
266,278.0,,33,270
267,1.0,,33,522
269,16.0,,33,686
270,23.0,,33,46
271,25.0,,33,46
272,51.0,,33,427
273,9.0,,33,44
274,9.0,,33,323
275,6.0,,33,63
276,45.0,,33,646
277,24.0,,33,428
278,3.0,,33,686
279,17.0,,33,73
280,43.0,,33,646
281,22.0,,33,203
282,3.0,T,33,15
284,3.0,,33,44
286,6.0,,33,686
287,9.0,,33,48
288,4.0,T,33,58
289,13.0,,33,428
290,81.0,,33,73
291,39.0,,33,48
292,1.0,,33,715
293,81.0,,33,159
294,65.0,,33,73
295,15.0,,33,49
296,24.0,,33,518
297,11.0,,33,545
299,62.0,,34,300
300,25.0,G,35,278
301,15.0,,35,288
302,25.0,D,35,278
303,6.0,,35,238
304,14.0,,36,37
305,9.0,,36,37
306,33.0,,36,37
307,8.0,,37,462
308,2.0,,37,52
309,30.0,B,37,81
310,21.0,,37,563
311,14.0,,37,479
312,61.0,,37,146
313,9.0,,37,26
314,34.0,,37,40
315,28.0,,37,26
316,13.0,,37,12
318,87.0,,37,81
319,20.0,,37,210
320,17.0,,37,563
321,8.0,,37,26
322,5.0,,37,23
324,79.0,,37,278
