IdMutation,DateMutation,ValeurFonciere,TypeMutation,IdLogement
0,2020-02-03,56000.0,Vente,0
1,2020-01-10,34000.0,Vente,1
2,2020-04-23,162300.0,Vente,2
3,2020-04-09,246400.0,Vente,3
4,2020-04-30,244000.0,Vente,4
5,2020-05-04,205000.0,Vente,5
6,2020-05-29,197280.0,Vente,6
7,2020-05-14,60040.0,Vente,7
8,2020-01-02,165000.0,Vente,8
9,2020-01-10,185000.0,Vente,9
10,2020-02-04,185000.0,Vente,10
11,2020-02-17,72000.0,Vente,11
12,2020-02-28,55000.0,Vente,12
13,2020-06-16,118000.0,Vente,13
14,2020-01-15,253000.0,Vente,14
15,2020-01-28,54150.0,Vente,15
16,2020-01-24,58000.0,Vente,16
17,2020-05-28,257142.86,Vente,17
18,2020-06-26,105000.0,Vente,18
19,2020-01-27,99000.0,Vente,19
20,2020-01-31,103500.0,Vente,20
21,2020-05-15,196000.0,Vente,21
22,2020-03-12,67000.0,Vente,22
23,2020-06-12,347500.0,Vente,23
24,2020-05-13,414200.0,Vente,24
25,2020-05-28,195000.0,Vente,25
26,2020-06-30,225000.0,Vente,26
27,2020-01-07,138500.0,Vente,27
28,2020-02-14,200000.0,Vente,28
29,2020-01-06,910000.0,Vente,29
30,2020-01-21,380880.0,Vente,30
31,2020-03-30,322500.0,Vente,31
32,2020-06-19,720000.0,Vente,32
33,2020-01-07,540000.0,Vente,33
34,2020-01-09,156300.0,Vente,34
35,2020-01-08,313000.0,Vente,35
36,2020-01-31,589900.0,Vente,36
37,2020-02-26,225672.02,Vente,37
38,2020-05-12,269000.0,Vente,38
39,2020-05-28,227450.0,Vente,39
40,2020-05-15,245000.0,Vente,39
41,2020-05-19,200000.0,Vente,40
42,2020-03-12,201000.0,Vente,41
43,2020-01-08,720000.0,Vente,42
44,2020-01-06,429250.0,Vente,43
45,2020-01-07,220900.0,Vente,44
46,2020-04-28,114400.0,Vente,45
47,2020-03-04,80684.51,Vente,46
48,2020-05-26,88600.0,Vente,47
49,2020-06-26,322000.0,Vente,48
50,2020-05-07,376000.0,Vente,49
51,2020-01-21,42000.0,Vente,50
52,2020-01-07,262000.0,Vente,51
53,2020-02-17,189350.0,Vente,52
54,2020-04-08,445000.0,Vente,53
55,2020-06-26,38000.0,Vente,54
56,2020-05-07,92080.0,Vente,55
57,2020-05-04,107180.0,Vente,56
58,2020-01-08,190000.0,Vente,57
59,2020-01-16,563130.0,Vente,58
60,2020-01-17,535000.0,Vente,59
61,2020-03-09,845400.0,Vente,60
62,2020-06-18,610000.0,Vente,61
63,2020-05-15,88200.0,Vente,62
64,2020-01-16,330000.0,Vente,63
65,2020-01-27,110600.0,Vente,64
66,2020-02-28,129000.0,Vente,65
67,2020-06-09,215000.0,Vente,66
68,2020-06-03,165000.0,Vente,67
69,2020-02-03,37000.0,Vente,68
70,2020-02-26,78000.0,Vente,69
71,2020-01-30,50000.0,Vente,70
72,2020-02-04,73551.51,Vente,71
73,2020-02-28,230850.0,Vente,72
74,2020-03-10,52000.0,Vente,73
75,2020-05-29,130000.0,Vente,74
76,2020-06-19,64000.0,Vente,75
77,2020-04-10,79200.0,Vente,76
78,2020-06-11,227000.0,Vente,77
79,2020-02-06,36000.0,Vente,78
80,2020-01-29,40000.0,Vente,79
81,2020-01-09,227600.0,Vente,80
82,2020-05-27,151500.0,Vente,81
83,2020-03-09,128000.0,Vente,82
84,2020-05-26,194000.0,Vente,83
85,2020-02-12,205000.0,Vente,84
86,2020-03-24,186000.0,Vente,85
87,2020-01-20,1080400.0,Vente,86
88,2020-03-06,671160.0,Vente,87
89,2020-03-20,499700.0,Vente,88
90,2020-05-05,706000.0,Vente,89
91,2020-05-19,190000.0,Vente,90
92,2020-01-09,212000.0,Vente,91
93,2020-02-12,167550.0,Vente,92
94,2020-05-12,234810.0,Vente,93
95,2020-05-06,294000.0,Vente,94
96,2020-01-15,160000.0,Vente,95
97,2020-05-15,69800.0,Vente,96
98,2020-06-30,83000.0,Vente,97
99,2020-02-20,116120.0,Vente,98
100,2020-01-17,202550.0,Vente,99
101,2020-01-20,561550.0,Vente,100
102,2020-01-28,358000.0,Vente,101
103,2020-01-22,220000.0,Vente,102
104,2020-06-11,220470.0,Vente,102
105,2020-01-27,79300.0,Vente,103
106,2020-06-04,243000.0,Vente,104
107,2020-03-11,110500.0,Vente,105
108,2020-04-02,64000.0,Vente,106
109,2020-03-09,77000.0,Vente,107
110,2020-06-03,106096.0,Vente,108
111,2020-05-20,28000.0,Vente,109
112,2020-06-04,193000.0,Vente,110
113,2020-05-13,154000.0,Vente,111
114,2020-01-27,137000.0,Vente,112
115,2020-02-21,247200.0,Vente,113
116,2020-06-09,119712.0,Vente,114
117,2020-01-21,159000.0,Vente,115
118,2020-03-25,125500.0,Vente,116
119,2020-06-05,133000.0,Vente,117
120,2020-05-20,31500.0,Vente,118
121,2020-06-04,31725.0,Vente,119
122,2020-02-27,77434.0,Vente,120
123,2020-05-15,191000.0,Vente,121
124,2020-06-22,119500.0,Vente,122
125,2020-04-03,113300.0,Vente,123
126,2020-02-07,143235.0,Vente,124
127,2020-06-05,62500.0,Vente,125
128,2020-05-18,596600.0,Vente,126
129,2020-02-13,340000.0,Vente,127
130,2020-05-07,174400.0,Vente,128
131,2020-05-19,280000.0,Vente,129
132,2020-05-14,116000.0,Vente,130
133,2020-05-25,45800.0,Vente,131
134,2020-06-05,180000.0,Vente,132
135,2020-02-04,45000.0,Vente,133
136,2020-02-28,275000.0,Vente,134
137,2020-05-20,106000.0,Vente,135
138,2020-06-11,214000.0,Vente,136
139,2020-06-16,245000.0,Vente,137
140,2020-05-22,380000.0,Vente,138
141,2020-02-11,165000.0,Vente,139
142,2020-05-14,193000.0,Vente,140
143,2020-01-31,137000.0,Vente,141
144,2020-01-29,250650.0,Vente,142
145,2020-01-22,355000.0,Vente,143
146,2020-03-30,214000.0,Vente,144
147,2020-06-22,127000.0,Vente,145
148,2020-06-29,117000.0,Vente,146
149,2020-02-18,18090.0,Vente,147
150,2020-02-15,66000.0,Vente,148
151,2020-06-25,39000.0,Vente,149
152,2020-04-30,90000.0,Vente,150
153,2020-04-21,25000.0,Vente,151
154,2020-04-08,70000.0,Vente,152
155,2020-03-06,81500.0,Vente,153
156,2020-04-07,155000.0,Vente,154
157,2020-02-28,136265.0,Vente,155
158,2020-04-17,215000.0,Vente,156
159,2020-04-24,127300.0,Vente,157
160,2020-05-25,136000.0,Vente,158
161,2020-05-25,72000.0,Vente,159
162,2020-05-14,192000.0,Vente,160
163,2020-05-28,124500.0,Vente,161
164,2020-06-23,111000.0,Vente,162
