IdAdresse,NumVoie,BTQ,CodeVoie,CodeCommune
a_0,190.0,A,5,350
a_1,347.0,,20,103
a_2,58.0,,527,143
a_3,140.0,,2,288
a_4,39.0,,110,33
a_5,28.0,,179,138
a_6,8.0,,120,354
a_7,2.0,,210,354
a_8,1403.0,,465,143
a_9,226.0,,36,354
a_10,276.0,,210,288
a_11,79.0,,1490,283
a_12,77.0,B,20,357
a_13,240.0,,650,173
a_14,3.0,,541,33
a_15,44.0,,695,143
a_16,59.0,,40,4
a_17,282.0,,130,71
a_18,54.0,,45,396
a_19,1.0,,160,160
a_20,17.0,,A036,103
a_21,329.0,,25,399
a_22,369.0,,55,202
a_23,154.0,,33,204
a_24,6.0,,745,173
a_25,2.0,,135,354
a_26,54.0,,455,4
a_27,269.0,,191,34
a_28,322.0,,37,281
a_29,132.0,,124,354
a_30,80.0,,170,160
a_31,4.0,,190,138
a_32,79.0,,182,202
a_33,8.0,,15,148
a_34,29.0,,540,4
a_35,3.0,,730,34
a_36,956.0,,25,202
a_37,1.0,,20,160
a_38,58.0,,55,160
a_39,211.0,,16,313
a_40,25.0,,53,60
a_41,25.0,,246,4
a_42,6.0,,135,363
a_43,91.0,,55,160
a_44,3.0,,270,269
a_45,28.0,,70,345
a_46,312.0,,342,419
a_47,10.0,,40,283
a_48,1.0,,95,31
a_49,10.0,,130,354
a_50,102.0,,77,313
a_51,84.0,,170,160
a_52,115.0,,410,185
a_53,812.0,,755,173
a_54,26.0,,55,160
a_55,2.0,,45,354
a_56,53.0,,201,354
a_57,541.0,,75,210
a_58,386.0,,752,34
a_59,663.0,,12,399
a_60,377.0,,11,173
a_61,60.0,,295,4
a_62,86.0,,490,33
a_63,148.0,,123,281
a_64,77.0,J,A010,71
a_65,27.0,,240,173
a_66,5.0,,145,202
a_67,94.0,,109,313
a_68,242.0,,650,173
a_69,8.0,,55,436
a_70,24.0,,340,33
a_71,88.0,,275,419
a_72,27.0,,367,419
a_73,250.0,,54,192
a_74,13.0,,398,4
a_75,2.0,,161,4
a_76,33.0,,120,354
a_77,30.0,,175,160
a_79,923.0,,145,153
a_80,77.0,,82,103
a_81,103.0,,77,313
a_82,33.0,,77,313
a_83,75.0,,367,419
a_84,27.0,,5,435
a_85,60.0,,509,33
a_86,90.0,,490,143
a_87,72.0,,550,4
a_88,198.0,,560,33
a_90,786.0,,720,143
a_91,256.0,,41,173
a_92,1143.0,,30,390
a_93,40.0,,88,160
a_94,150.0,,690,34
a_95,14.0,,310,283
a_96,38.0,,85,160
a_98,36.0,,100,4
a_99,91.0,,46,109
a_100,88.0,,165,153
a_101,223.0,,112,281
a_102,232.0,,50,79
a_103,3.0,A,118,354
a_104,9.0,,60,199
a_105,392.0,,560,33
a_106,5186.0,,B102,240
a_107,8.0,,227,33
a_108,6066.0,,18,419
a_109,1.0,,326,283
a_110,54.0,,32,33
a_111,5208.0,,B013,187
a_112,7.0,,270,269
a_113,247.0,,88,313
a_114,120.0,B,155,71
a_115,12.0,,1040,283
a_116,47.0,,16,14
a_117,1.0,,257,33
a_118,15.0,,70,390
a_119,68.0,,745,173
a_120,5001.0,,431,34
a_121,9.0,,172,138
a_122,231.0,,56,224
a_124,20.0,,190,419
a_125,47.0,,325,143
a_126,48.0,,155,160
a_127,40.0,,100,210
a_128,4.0,,171,160
a_129,4.0,,68,199
a_130,76.0,,805,33
a_131,18.0,,309,173
a_132,711.0,,75,103
a_134,35.0,,110,33
a_135,20.0,,440,33
a_136,461.0,,221,354
a_137,114.0,,253,143
a_138,38.0,B,305,33
a_139,242.0,,755,173
a_140,44.0,,315,202
a_141,34.0,,75,354
a_142,183.0,,110,399
a_143,54.0,B,120,4
a_144,99.0,,15,34
a_145,16.0,,130,354
a_146,5245.0,,B032,247
a_147,17.0,,10,160
a_148,35.0,,155,401
a_149,78.0,,320,4
a_150,22.0,,63,33
a_151,7.0,,541,33
a_152,86.0,,112,31
a_153,16.0,,25,160
a_154,6.0,,227,33
a_155,346.0,,650,173
a_156,195.0,,123,281
a_158,348.0,,650,173
a_159,72.0,,31,401
a_160,86.0,,170,160
a_161,181.0,,169,354
a_162,28.0,,567,143
a_163,62.0,,294,419
a_164,1.0,,14,33
a_166,13.0,,375,34
a_167,4.0,,59,313
a_168,67.0,,85,71
a_169,644.0,,100,143
a_170,67.0,,218,34
a_171,96.0,,487,143
a_173,152.0,,660,143
a_174,170.0,,680,173
a_175,399.0,,105,202
a_176,780.0,,90,158
a_178,71.0,,100,135
a_179,46.0,,560,443
a_180,13.0,,461,244
a_181,151.0,,40,258
a_182,9.0,,520,262
a_183,768.0,,160,194
a_184,172.0,,75,30
a_185,2.0,,510,244
a_186,1172.0,,186,142
a_187,62.0,,30,248
a_188,40.0,,140,450
a_189,12.0,,925,173
a_190,27.0,,910,408
a_191,1.0,,535,408
a_192,15.0,,2278,408
a_193,11.0,,250,408
a_194,2.0,,301,304
a_195,13.0,,2040,408
a_196,20.0,G,1070,173
