CodeCommune,NomCommune,CodePostal
350,SAINT-ETIENNE-DU-BOIS,1370.0
103,CHEVRY,1170.0
143,DIVONNE-LES-BAINS,1220.0
288,PERON,1630.0
33,VALSERHONE,1200.0
138,CULOZ,1350.0
354,ST-GENIS-POUILLY,1630.0
283,OYONNAX,1100.0
357,ST-GERMAIN-DE-JOUX,1130.0
173,GEX,1170.0
4,AMBERIEU-EN-BUGEY,1500.0
71,CESSY,1170.0
396,SAULT-BRENAZ,1150.0
160,FERNEY-VOLTAIRE,1210.0
399,SEGNY,1170.0
202,LAGNIEU,1150.0
204,LE POIZAT-LALLEYRIAT,1130.0
34,BELLEY,1300.0
281,ORNEX,1210.0
148,DORTAN,1590.0
313,PREVESSIN-MOENS,1280.0
60,BRENOD,1110.0
363,SAINT-JEAN-LE-VIEUX,1640.0
269,NANTUA,1130.0
345,SAINT-DENIS-EN-BUGEY,1500.0
419,THOIRY,1710.0
31,BELLIGNAT,1100.0
185,PLATEAU D'HAUTEVILLE,1110.0
210,LELEX,1410.0
436,VESANCY,1170.0
192,IZERNORE,1580.0
153,ECHENEVEX,1170.0
435,VERSONNEX,1210.0
390,SAINT-VULBAS,1150.0
109,COLLONGES,1550.0
79,CHAMPAGNE-EN-VALROMEY,1260.0
199,JUJURIEUX,1640.0
240,MATAFELON-GRANGES,1580.0
187,HAUT-VALROMEY,1260.0
14,ARBENT,1100.0
224,LOYETTES,1360.0
247,MIJOUX,1410.0
401,SERGY,1630.0
158,FARGES,1550.0
135,CROZET,1170.0
443,VILLARS-LES-DOMBES,1330.0
244,MEXIMIEUX,1800.0
258,MONTCEAUX,1090.0
262,MONTLUEL,1120.0
194,JASSANS-RIOTTIER,1480.0
30,BEAUREGARD,1480.0
142,DAGNEUX,1120.0
248,MIONNAY,1390.0
450,VILLIEU-LOYES-MOLLON,1800.0
173,CHAUNY,2300.0
408,LAON,2000.0
304,LA FERE,2800.0
755,URCEL,2000.0
680,SAINT GOBAIN,2410.0
738,TERGNIER,2700.0
318,FOLEMBRAY,2670.0
691,SAINT QUENTIN,2100.0
722,SOISSONS,2200.0
226,COURMELLES,2200.0
795,VIC SUR AISNE,2290.0
810,VILLERS-COTTERETS,2600.0
410,LARGNY SUR AUTOMNE,2600.0
537,NANTEUIL LA FOSSE,2880.0
758,VAILLY-SUR-AISNE,2370.0
201,COEUVRES ET VALSERY,2600.0
64,BELLEU,2200.0
168,CHATEAU THIERRY,2400.0
305,FERE EN TARDENOIS,2130.0
190,MOULINS,3000.0
321,YZEURE,3400.0
95,CUSSET,3300.0
310,VICHY,3200.0
209,SISTERON,4200.0
166,RIEZ,4500.0
73,ENCHASTRAYES,4400.0
49,CHATEAU-ARNOUX-SAINT-AUBAN,4160.0
70,DIGNE-LES-BAINS,4000.0
126,MONTCLAR,4140.0
6,ALLOS,4260.0
39,CASTELLANE,4120.0
96,JAUSIERS,4850.0
102,LE LAUZET UBAYE,4340.0
205,SEYNE,4140.0
176,SAINTE CROIX DU VERDON,4500.0
86,FAUCON-DE-BARCELONNETTE,4400.0
19,BARCELONNETTE,4400.0
94,GREOUX-LES-BAINS,4800.0
189,SAINT-MARTIN-DE-BROMES,4800.0
145,PEIPIN,4200.0
245,VOLX,4130.0
88,FORCALQUIER,4300.0
203,SELONNET,4140.0
112,MANOSQUE,4100.0
226,UVERNET-FOURS,4400.0
139,NOYERS-SUR-JABRON,4200.0
151,PIERRERUE,4300.0
143,ORAISON,4700.0
79,L ESCALE,4160.0
242,VILLENEUVE,4180.0
230,VALENSOLE,4210.0
244,VOLONNE,4290.0
197,SAINTE-TULLE,4220.0
178,SAINT-ETIENNE-LES-ORGUES,4230.0
69,DEMANDOLX,4120.0
22,BARREME,4330.0
70,LARAGNE-MONTEGLIN,5300.0
153,SAINT-MICHEL-DE-CHAILLOL,5260.0
84,MONTGARDIN,5230.0
177,VARS,5560.0
46,EMBRUN,5200.0
156,SAINT-SAUVEUR,5200.0
23,BRIANCON,5100.0
96,ORCIERES,5170.0
101,VALLOUISE-PELVOUX,5340.0
6,L'ARGENTIERE-LA-BESSEE,5120.0
61,GAP,5000.0
139,LE DEVOLUY,5250.0
64,LA CHAPELLE-EN-VALGAUDEMAR,5800.0
1,ABRIES-RISTOLAS,5460.0
161,LA SALLE,5240.0
179,VEYNES,5400.0
4,ANCELLE,5260.0
98,LES ORRES,5200.0
166,SERRES,5700.0
119,RISOUL,5600.0
40,CHORGES,5230.0
110,PUY SAINT VINCENT,5290.0
132,SAINT-BONNET-EN-CHAMPSAUR,5500.0
93,NEVACHE,5100.0
79,LE MONETIER-LES-BAINS,5220.0
17,LA BATIE NEUVE,5230.0
65,GUILLESTRE,5600.0
164,SAVINES-LE-LAC,5160.0
85,MONTGENEVRE,5100.0
72,LAYE,5500.0
111,PUY-SANIERES,5200.0
133,SAINT-CHAFFREY,5330.0
88,NICE,6000.0
88,NICE,6300.0
88,NICE,6100.0
114,SAINT-ANDRE DE LA ROCHE,6730.0
149,LA TRINITE,6340.0
60,FALICON,6950.0
88,NICE,6200.0
83,MENTON,6500.0
104,ROQUEBRUNE CAP MARTIN,6190.0
12,BEAUSOLEIL,6240.0
162,LA BRIGUE,6430.0
132,SAORGE,6540.0
163,TENDE,6430.0
136,SOSPEL,6380.0
35,CASTELLAR,6500.0
36,CASTILLON,6500.0
67,GORBIO,6500.0
86,MOULINET,6380.0
23,BREIL-SUR-ROYA,6540.0
113,SAINTE-AGNES,6500.0
159,VILLEFRANCHE-SUR-MER,6230.0
73,ISOLA,6420.0
94,PEONE,6470.0
153,VALDEBLORE,6420.0
11,BEAULIEU SUR MER,6310.0
92,PEILLON,6440.0
54,DRAP,6340.0
57,L'ESCARENE,6440.0
32,CAP-D AIL,6320.0
158,VILLARS-SUR-VAR,6710.0
127,SAINT-MARTIN-VESUBIE,6450.0
14,BENDEJUN,6390.0
