IdLogement,ValeurFonciere,TypeLocal,SurfaceBatie,SurfaceTerrain,NbPieces
l_0,56000.0,Appartement,52,,2
l_1,165000.0,Appartement,48,,3
l_2,720000.0,Appartement,130,,6
l_3,429250.0,Maison,109,,5
l_4,220900.0,Appartement,91,,4
l_5,42000.0,Appartement,32,,2
l_6,262000.0,Appartement,52,,2
l_7,190000.0,Appartement,60,,2
l_8,563130.0,Maison,96,,4
l_9,535000.0,Maison,117,,5
l_10,330000.0,Appartement,36,,2
l_11,110600.0,Appartement,137,,5
l_12,50000.0,Appartement,43,,2
l_13,212000.0,Appartement,45,,2
l_14,160000.0,Appartement,84,,4
l_15,561550.0,Appartement,88,,4
l_16,358000.0,Appartement,143,,6
l_17,220000.0,Appartement,42,,2
l_18,220470.0,Appartement,42,,2
l_19,79300.0,Appartement,65,,3
l_20,285000.0,Appartement,75,,3
l_21,123100.0,Appartement,30,,1
l_22,107500.0,Appartement,25,,1
l_23,128810.0,Appartement,52,,2
l_24,31000.0,Appartement,88,,3
l_25,125000.0,Appartement,45,,1
l_26,285000.0,Appartement,83,,3
l_27,140500.0,Appartement,68,,3
l_28,101050.0,Appartement,64,,3
l_29,530000.0,Maison,109,,4
l_30,435000.0,Maison,90,,4
l_31,486415.0,Appartement,133,,4
l_32,185000.0,Appartement,63,,3
l_33,223905.0,Appartement,63,,3
l_34,131376.0,Appartement,50,,3
l_35,155000.0,Appartement,74,,3
l_36,150000.0,Appartement,121,,4
l_37,67000.0,Appartement,62,,2
l_38,114000.0,Appartement,73,,4
l_39,143850.0,Maison,88,,2
l_40,237900.0,Appartement,71,,3
l_41,425000.0,Maison,101,,4
l_42,220000.0,Appartement,45,,2
l_43,55000.0,Appartement,63,,2
l_44,164665.0,Maison,68,,3
l_45,89000.0,Appartement,90,,4
l_46,475150.0,Appartement,120,,4
l_47,132500.0,Appartement,106,,5
l_48,68000.0,Appartement,43,,2
l_49,570840.0,Maison,120,,5
l_50,135700.0,Appartement,67,,2
l_51,62500.0,Appartement,68,,3
l_52,332500.0,Appartement,112,,5
l_53,439785.0,Appartement,112,,5
l_54,428000.0,Maison,95,,4
l_55,210000.0,Appartement,63,,3
l_56,50000.0,Appartement,75,,4
l_57,592487.0,Maison,160,,6
l_58,295000.0,Appartement,67,,3
l_59,133000.0,Appartement,31,,1
l_60,580450.0,Appartement,166,,5
l_61,595600.0,Appartement,166,,5
l_62,105500.0,Appartement,56,,2
l_63,152900.0,Appartement,63,,3
l_64,352300.0,Appartement,88,,3
l_65,215000.0,Appartement,87,,4
l_66,128460.0,Appartement,51,,2
l_67,90500.0,Appartement,39,,1
l_68,305500.0,Appartement,71,,3
l_69,430000.0,Maison,143,,6
l_70,152470.0,Appartement,53,,3
l_71,55000.0,Appartement,39,,2
l_72,465660.47,Appartement,89,,4
l_73,167550.0,Appartement,50,,2
l_74,212862.0,Appartement,136,,4
l_75,54000.0,Appartement,62,,3
l_76,390000.0,Maison,102,,4
l_77,160000.0,Appartement,43,,2
l_78,156580.0,Maison,83,,4
l_79,129258.0,Appartement,55,,2
l_80,210000.0,Appartement,81,,3
l_81,189350.0,Appartement,56,,3
l_82,310000.0,Appartement,75,,3
l_83,505000.0,Maison,86,,4
l_84,442100.0,Maison,118,,5
l_85,506000.0,Maison,110,,5
l_86,292000.0,Appartement,70,,3
l_87,200000.0,Appartement,56,,3
l_88,315800.0,Appartement,85,,4
l_89,167000.0,Appartement,74,,4
l_90,640000.0,Appartement,133,,4
l_91,74000.0,Appartement,33,,2
l_92,232550.0,Appartement,63,,3
l_93,90000.0,Appartement,100,,4
l_94,282000.0,Appartement,46,,2
l_95,152000.0,Appartement,34,,2
l_96,222450.0,Appartement,55,,3
l_97,164000.0,Appartement,43,,2
l_98,389500.0,Maison,80,,4
l_99,43000.0,Appartement,39,,2
l_100,139130.0,Appartement,92,,3
l_101,229100.0,Appartement,57,,2
l_102,147500.0,Appartement,79,,2
l_103,440000.0,Appartement,190,,6
l_104,495000.0,Maison,170,,3
l_105,510000.0,Appartement,113,,4
l_106,170000.0,Appartement,127,,4
l_107,251500.0,Appartement,49,,2
l_108,98000.0,Appartement,74,,3
l_109,132300.0,Appartement,83,,4
l_110,126000.0,Appartement,32,,2
l_111,131500.0,Appartement,69,,3
l_112,266960.0,Appartement,69,,3
l_113,205000.0,Appartement,59,,2
l_114,114500.0,Appartement,64,,3
l_115,181970.0,Appartement,88,,4
l_116,70000.0,Appartement,35,,3
l_117,45000.0,Appartement,40,,2
l_118,375000.0,Maison,77,,4
l_119,247000.0,Appartement,67,,3
l_120,271000.0,Appartement,67,,3
l_121,16300.0,Appartement,30,,1
l_122,60000.0,Appartement,48,,2
l_123,164000.0,Appartement,56,,2
l_124,93585.0,Appartement,32,,2
l_125,210000.0,Appartement,68,,4
l_126,120000.0,Maison,80,,4
l_127,50000.0,Appartement,53,,3
l_128,174850.0,Appartement,71,,3
l_129,540000.0,Maison,102,,6
l_130,230000.0,Appartement,42,,2
l_131,445000.0,Appartement,115,,4
l_132,44000.0,Appartement,21,,2
l_133,145900.0,Appartement,36,,1
l_134,57000.0,Appartement,48,,2
l_135,138000.0,Appartement,54,,2
l_136,190000.0,Appartement,54,,2
l_137,182000.0,Appartement,41,,2
l_138,114400.0,Appartement,69,,3
l_139,98000.0,Appartement,56,,2
l_140,505000.0,Appartement,131,,5
l_141,289150.0,Appartement,63,,2
l_142,104000.0,Appartement,60,,3
l_143,245000.0,Appartement,105,,3
l_144,115000.0,Appartement,71,,3
l_145,483800.0,Maison,101,,5
l_146,185000.0,Appartement,30,,1
l_147,188000.0,Appartement,75,,3
l_148,185000.0,Appartement,77,,4
l_149,162000.0,Appartement,58,,2
l_150,76000.0,Appartement,22,,2
l_151,367000.0,Appartement,106,,5
l_152,324050.0,Appartement,87,,4
l_153,170000.0,Appartement,92,,5
l_154,79370.0,Appartement,89,,5
l_155,69800.0,Appartement,40,,1
l_156,54120.0,Appartement,46,,2
l_157,116500.0,Appartement,2,,0
l_158,136000.0,Appartement,68,,3
l_159,234810.0,Appartement,68,,3
l_160,410000.0,Maison,103,,4
l_161,294000.0,Appartement,77,,4
l_162,620000.0,Maison,106,,4
l_163,230000.0,Appartement,63,,3
l_164,469820.0,Appartement,133,,4
l_165,371550.0,Appartement,63,,3
l_166,315000.0,Appartement,65,,3
l_167,82500.0,Appartement,59,,2
l_168,65000.0,Appartement,117,,5
l_169,469000.0,Appartement,82,,4
l_170,161000.0,Appartement,42,,2
l_171,513350.0,Maison,96,,5
l_172,83000.0,Appartement,58,,3
l_173,471810.0,Appartement,90,,4
l_174,243000.0,Appartement,35,,1
l_175,100000.0,Appartement,33,,2
l_176,193700.0,Maison,88,,4
l_177,100000.0,Appartement,60,,2
l_178,225000.0,Appartement,65,,2
l_179,106000.0,Appartement,39,,2
l_180,203400.0,Maison,110,,5
l_181,212150.0,Appartement,90,,3
l_182,102000.0,Appartement,47,,1
l_183,150200.0,Appartement,56,,2
l_184,129400.0,Appartement,77,,3
l_185,130000.0,Appartement,65,,3
l_186,84800.0,Appartement,44,,3
l_187,282600.0,Appartement,85,,4
l_188,145100.0,Appartement,48,,2
l_189,87000.0,Maison,82,,4
l_190,142000.0,Appartement,156,,6
l_191,66000.0,Appartement,72,,4
l_192,80900.0,Appartement,90,,5
l_193,81500.0,Appartement,90,,5
l_194,71500.0,Appartement,82,,3
l_195,68100.0,Appartement,41,,2
l_196,58900.0,Appartement,158,,4
l_197,37900.0,Appartement,40,,2
l_198,39900.0,Appartement,40,,2
l_199,78100.0,Appartement,53,,2
l_200,70000.0,Maison,80,213.0,4
l_201,112900.0,Appartement,65,,3
l_202,39500.0,Appartement,30,,1
l_203,37015.0,Appartement,31,,1
l_204,93000.0,Maison,67,,3
l_205,35000.0,Appartement,27,,1
l_206,42500.0,Appartement,53,,2
l_207,88000.0,Maison,82,,4
l_208,44500.0,Appartement,48,,2
l_209,75000.0,Maison,90,,4
l_210,44000.0,Appartement,53,,3
l_211,34000.0,Appartement,27,,1
l_212,84000.0,Maison,92,,4
l_213,90000.0,Appartement,62,,3
l_214,27000.0,Appartement,27,,1
l_215,29500.0,Appartement,27,,1
l_216,20000.0,Appartement,64,,3
l_217,137000.0,Appartement,155,,5
l_218,32500.0,Appartement,67,,3
l_219,35500.0,Appartement,29,,1
l_220,365000.0,Maison,119,,4
l_221,55000.0,Appartement,76,,3
l_222,370000.0,Appartement,122,,4
l_223,41000.0,Appartement,32,,1
l_224,107000.0,Appartement,127,,4
l_225,68700.0,Appartement,52,,2
l_226,290000.0,Appartement,143,,5
l_227,57000.0,Appartement,43,,2
l_228,274000.0,Appartement,127,,4
l_229,39000.0,Appartement,29,,1
l_230,102345.0,Maison,81,,4
l_231,63500.0,Appartement,67,,4
l_232,181000.0,Appartement,122,,5
l_233,125000.0,Maison,145,,4
l_234,59000.0,Appartement,49,,3
l_235,63000.0,Appartement,58,,2
l_236,90000.0,Maison,50,,3
l_237,110000.0,Appartement,77,,5
l_238,81000.0,Appartement,48,,2
l_239,67000.0,Appartement,36,,3
l_240,30000.0,Appartement,75,,2
l_241,79180.0,Maison,109,,6
l_242,55000.0,Maison,64,,3
l_243,97000.0,Appartement,81,,4
l_244,44000.0,Appartement,44,,1
l_245,70000.0,Appartement,75,,3
l_246,82500.0,Appartement,83,,3
l_247,230000.0,Appartement,59,,4
l_248,13000.0,Appartement,26,,1
l_249,103090.0,Appartement,86,,3
l_250,95000.0,Maison,110,,6
l_251,36000.0,Appartement,21,,1
l_252,44000.0,Appartement,23,,1
l_253,100789.0,Appartement,57,,2
l_254,76280.0,Appartement,44,,2
l_255,148586.0,Appartement,67,,3
l_256,140000.0,Appartement,73,,3
l_257,65000.0,Appartement,72,,3
l_258,151000.0,Appartement,76,,3
l_259,134000.0,Appartement,72,,2
l_260,56500.0,Appartement,64,,3
l_261,47500.0,Appartement,32,,2
l_262,41500.0,Appartement,33,,1
l_263,36000.0,Appartement,25,,1
l_264,95000.0,Appartement,54,,3
l_265,87000.0,Appartement,42,,3
l_266,53000.0,Appartement,30,,1
l_267,169000.0,Maison,110,,6
l_268,45375.0,Appartement,32,,1
l_269,55000.0,Appartement,60,,3
l_270,290000.0,Appartement,54,,3
l_271,110500.0,Appartement,58,,3
l_272,67000.0,Appartement,75,,4
l_273,43000.0,Appartement,64,,3
l_274,111324.0,Appartement,33,,2
l_275,131990.0,Appartement,38,,1
l_276,74169.0,Appartement,22,,1
l_277,164000.0,Appartement,77,,3
l_278,106000.0,Appartement,84,,4
l_279,135000.0,Maison,112,,5
l_280,59500.0,Appartement,60,,4
l_281,108254.0,Maison,85,,5
l_282,45500.0,Appartement,59,,3
l_283,55000.0,Appartement,40,,2
l_284,41000.0,Appartement,79,,4
l_285,172200.0,Appartement,105,,5
l_286,100000.0,Appartement,80,,3
