IdLogement,IdMutation
0,m_0
74,m_0
85,m_0
66,m_0
32027,m_0
18,m_0
260,m_0
563,m_0
652,m_0
277,m_0
334,m_0
116,m_0
250,m_0
252,m_0
218,m_0
15099,m_0
396,m_0
186,m_0
107,m_0
5,m_0
20,m_0
178,m_0
1525,m_0
47,m_0
65,m_0
511,m_0
284,m_0
112,m_0
294,m_0
90,m_0
298,m_0
10,m_0
52,m_0
472,m_0
151,m_0
37,m_0
2399,m_0
523,m_0
223,m_0
170,m_0
521,m_0
12,m_0
1356,m_0
27,m_0
882,m_0
13,m_0
495,m_0
289,m_0
40,m_0
82,m_0
243,m_0
138,m_0
371,m_0
17,m_0
3975,m_0
259,m_0
32,m_0
296,m_0
308,m_0
5542,m_0
3681,m_0
54,m_0
458,m_0
103,m_0
19,m_0
21,m_0
321,m_0
181,m_0
60,m_0
579,m_0
436,m_0
130,m_0
23,m_0
26,m_0
7874,m_0
572,m_0
330,m_0
231,m_0
34,m_0
200,m_0
35,m_0
3125,m_0
494,m_0
42,m_0
1988,m_0
49,m_0
50,m_0
11911,m_0
253,m_0
57,m_0
742,m_0
76,m_0
70,m_0
78,m_0
79,m_0
191,m_0
91,m_0
884,m_0
258,m_0
87,m_0
451,m_0
1670,m_0
4170,m_0
1400,m_0
282,m_0
128,m_0
132,m_0
146,m_0
169,m_0
173,m_0
203,m_0
301,m_0
1872,m_0
241,m_0
578,m_0
541,m_0
280,m_0
485,m_0
390,m_0
331,m_0
377,m_0
378,m_0
420,m_0
573,m_0
591,m_0
622,m_0
650,m_0
856,m_0
1177,m_0
1627,m_0
2039,m_0
2433,m_0
2633,m_0
3202,m_0
3251,m_0
4513,m_0
4666,m_0
5128,m_0
8703,m_0
9686,m_0
21455,m_0
22265,m_0
20,m_1
145,m_1
0,m_1
97,m_1
363,m_1
472,m_1
138,m_1
436,m_1
82,m_1
523,m_1
1995,m_1
42,m_1
200,m_1
321,m_1
1251,m_1
252,m_1
170,m_1
884,m_1
474,m_1
491,m_1
1517,m_1
1494,m_1
1,m_1
181,m_1
4470,m_1
6566,m_1
65,m_1
119,m_1
5,m_1
3717,m_1
13,m_1
675,m_1
191,m_1
144,m_1
330,m_1
10,m_1
497,m_1
267,m_1
27,m_1
2318,m_1
32,m_1
7,m_1
2157,m_1
7874,m_1
