IdMutation,DateMutation
m_0,2020-02-03
m_1,2020-01-02
m_2,2020-01-08
m_3,2020-01-06
m_4,2020-01-07
m_5,2020-01-21
m_8,2020-01-16
m_9,2020-01-17
m_11,2020-01-27
m_12,2020-01-30
m_13,2020-01-09
m_14,2020-02-27
m_15,2020-05-27
m_16,2020-01-15
m_17,2020-06-04
m_18,2020-01-20
m_19,2020-01-28
m_20,2020-01-22
m_21,2020-02-11
m_22,2020-06-11
m_28,2020-02-05
m_30,2020-01-31
m_34,2020-02-25
m_35,2020-01-29
m_38,2020-03-16
m_39,2020-06-09
m_40,2020-04-22
m_42,2020-01-23
m_45,2020-01-13
m_46,2020-02-07
m_48,2020-01-24
m_49,2020-05-25
m_50,2020-02-06
m_51,2020-02-19
m_52,2020-05-29
m_55,2020-02-10
m_57,2020-02-12
m_64,2020-05-12
m_67,2020-06-10
m_75,2020-06-17
m_76,2020-02-20
m_77,2020-02-04
m_79,2020-02-17
m_80,2020-02-14
m_83,2020-02-18
m_85,2020-02-13
m_86,2020-05-30
m_92,2020-02-24
m_96,2020-05-21
m_99,2020-02-28
m_101,2020-02-21
m_106,2020-03-03
m_112,2020-03-04
m_114,2020-03-09
m_116,2020-03-10
m_117,2020-03-17
m_118,2020-03-05
m_119,2020-03-11
m_126,2020-03-02
m_128,2020-03-27
m_130,2020-03-19
m_131,2020-03-25
m_133,2020-05-26
m_134,2020-03-06
m_136,2020-03-12
m_137,2020-05-14
m_138,2020-03-31
m_141,2020-05-04
m_142,2020-04-01
m_143,2020-06-25
m_144,2020-04-07
m_145,2020-03-18
m_147,2020-03-26
m_150,2020-06-03
m_151,2020-04-21
m_155,2020-04-03
m_157,2020-06-29
m_158,2020-03-14
m_159,2020-04-10
m_161,2020-04-15
m_163,2020-04-08
m_164,2020-04-27
m_165,2020-04-09
m_167,2020-05-28
m_169,2020-06-08
m_173,2020-04-28
m_174,2020-04-29
m_176,2020-04-17
m_177,2020-04-24
m_179,2020-06-23
m_180,2020-04-30
m_181,2020-05-06
m_182,2020-05-07
m_187,2020-05-13
m_188,2020-05-05
m_192,2020-05-19
m_193,2020-05-20
m_194,2020-05-15
m_196,2020-05-18
m_202,2020-05-11
m_207,2020-06-15
m_215,2020-06-02
m_222,2020-05-22
m_223,2020-06-26
m_224,2020-01-14
m_227,2020-01-10
m_229,2020-01-03
m_232,2020-04-06
m_259,2020-06-05
m_262,2020-03-20
m_267,2020-06-19
m_268,2020-06-30
m_273,2020-06-24
m_284,2020-05-23
m_306,2020-04-20
m_307,2020-04-23
m_322,2020-05-16
m_332,2020-06-18
m_360,2020-01-04
m_365,2020-01-11
m_373,2020-06-22
m_424,2020-02-29
m_427,2020-02-22
m_429,2020-02-08
m_440,2020-02-26
m_470,2020-02-15
m_472,2020-04-14
m_490,2020-04-16
m_529,2020-06-06
m_538,2020-01-25
m_539,2020-06-16
m_544,2020-06-20
m_546,2020-06-12
m_552,2020-06-13
m_612,2020-04-02
m_666,2020-03-30
m_821,2020-03-23
m_1033,2020-03-13
m_1146,2020-06-01
m_1264,2020-03-07
m_1330,2020-03-24
m_2467,2020-01-18
m_2903,2020-06-27
m_2933,2020-03-21
m_3038,2020-02-01
m_4952,2020-04-18
m_5151,2020-04-04
m_5191,2020-06-07
m_6423,2020-01-12
m_7513,2020-03-28
m_7578,2020-05-01
m_8838,2020-02-16
m_10772,2020-04-11
m_11018,2020-01-19
m_11122,2020-05-09
m_19645,2020-05-02
m_28250,2020-05-08
m_30415,2020-02-23
