IdVoie,TypeVoie,Voie
0,RUE,CENTRALE
1,RUE,DE GENEVE
2,AV,CHARLES DE GAULLE
3,RUE,VARLET
4,RUE,DE L ARMISTICE
5,RUE,ANTOINE SCOFFIER
6,RUE,GIOFFREDO
7,RUE,DELILLE
8,AV,GLORIA
9,BD,DE LA MADELEINE
10,AV,DE LA LIBERTE
11,CHE,DES COMBES
12,BD,CHARLES GUILLAUMONT
13,AV,DE LA POSTE
14,BD,DU PRESIDENT WILSON
15,PL,DE LA FONTAINE
16,AV,PAUL CEZANNE
17,AV,DE GRASSE
18,BD,DU POINT DU JOUR
19,AV,DE NIMES
20,AV,DU HUIT MAI 1945
21,RUE,DAUPHINE
22,CHE,ST JOSEPH A STE MARTHE
23,RUE,DES RECOLETTES
24,RUE,FARJON
25,RUE,PASCAL
26,AV,GENERAL DE GAULLE
27,ALL,LUMIERE
28,BD,DU REDON
29,AV,FRANKLIN ROOSEVELT
31,RUE,ROLLAND
32,RUE,MONTAIGNE
33,RUE,CARNOT
34,RUE,DU REMPART ST CLAUDE
35,BD,DE LA TOUR D AUVERGNE
36,RUE,NEUVE D ARGENSON
37,RUE,JULES FERRY
38,RUE,DU REFUGE
39,RUE,DU MARECHAL JOFFRE
40,RUE,SAINT ANDRE
41,RUE,DU CARREFOUR
42,RUE,DE LYON
43,RUE,AMIRAL BAUDIN
44,,EFFRICO
45,AV,PRESIDENT KENNEDY
46,,SOLENZARA
47,AV,SALVADOR ALLENDE
48,RUE,DES LAURIERS
49,AV,DE BORDEAUX
50,CRS,LAMARQUE DE PLAISANCE
51,RUE,DU PARC DES SPORTS
52,RUE,DU VIDOURLE
53,ALL,DES CHENES
54,BD,BALZAC
55,RUE,JOSEPH REY
56,AV,DU 8 MAI 1945
57,RUE,FRANCOIS PEYRON
58,RUE,SERMORENS
59,RUE,DE STALINGRAD
60,RTE,DU SIGNAL
61,CHE,DU RIF TALON
62,RUE,DU BOICHOT
63,RUE,LABADIE
64,RUE,DE MAOUCOUT
65,AV,VICTOR HUGO
66,RUE,JEAN LE BON
67,RUE,DES PONTIERES
68,RUE,DE LA REPUBLIQUE
69,PL,DES PROMENADES POPULLE
70,RUE,JEAN MERMOZ
71,AV,GEORGES CLEMENCEAU
72,ALL,D ORLEANS
73,RUE,DU LIEUTENANT MARTY
74,RTE,DE ST SEBASTIEN
76,CRS,ANTONIO VIVALDI
77,RUE,LOUISE MICHEL
78,RUE,DES DEPORTES
79,QUAI,DE LA PETITE CHAMBRE
80,RUE,DE LA MAIRIE
81,RUE,DE LA BORDE
82,RUE,GENERAL LECLERC
83,RUE,DES AMBANS
84,BD,EUGENE CHAUMIN
85,PL,DE LA MAIRIE (SOUCELLES)
86,RUE,DU GRAND PRE
87,RUE,BARRA
88,AV,DU GEN DE GAULLE
89,RUE,DES CARMES
90,AV,HENRY DE GONTAUT BIRON
91,RUE,GAMBETTA
92,RUE,DU GENERAL FERY
93,RUE,DU LYCEE
94,AV,DU COLONEL MOLL
95,COUR,DES ECHELLES
96,RUE,CHARLES OUDILLE
97,RUE,SELLIER
98,PL,DE LORRAINE
99,RUE,DU PARC
100,RUE,DU GENERAL DE GAULLE
101,AV,DU PARC DES SPORTS
102,RUE,DU MEUNIER
103,RUE,JEAN DE LA FONTAINE
104,RUE,GASTON WATEAU
105,RUE,DU MOULIN
106,RUE,MONTPENSIER
107,RUE,REY LORAS
108,RUE,EUGENE PONS
109,RUE,DU BOEUF
110,RUE,STE CATHERINE
111,CRS,D HERBOUVILLE
112,CRS,GAMBETTA
113,CRS,TOLSTOI
114,RUE,NICOLAS GARNIER
115,RUE,DES FAIENCIERS
117,RUE,CHARLES MACHET
118,PL,DU MARCHE
119,RUE,PEZANT
120,RUE,DU TROIS SEPTEMBRE 1944
121,CHE,DES HUCHES
122,RES,DU PARC
123,BD,VICTOR SCHOELCHER
124,RUE,DES JARSINES
126,AV,LUCIEN BRUNET
127,,RES DES BELLINGANTS
128,SQ,BRUSSEAU
129,RUE,DE FRANCE
130,RUE,DE LA TOUR D'AUVERGNE
131,RUE,DES PLATANES
132,ALL,DU PRIEURE
133,AV,FRANCOIS TRINQUAND
134,RUE,DE LA GARE
135,RLE,AUX LOUPS
136,PL,DES AUBEPINES
137,AV,DE ROCQUENCOURT
138,AV,DU VAL NOTRE DAME
139,RUE,YVAN TOURGUENEFF
140,RUE,ANDRE LE BOURBLANC
141,RUE,SOPHIE DE GROUCHY
142,AV,DE VILLEDIEU
143,RUE,DE BROSSARD
144,RUE,HENRI IV
145,RUE,DE LA COMEDIE
146,MTE,DE L ORATOIRE
147,PL,GUSTAVE LAMBERT
148,RUE,EMILE PAUL
149,ALL,DU POUSSET
150,TRA,ARISTIDE BRIAND
151,RUE,DE LA VOLOGNE
152,IMP,DES CHAMPS NAVES
153,RES,DE LA THEUILLERIE
154,AV,GAMBETTA
155,ALL,ALBERT THOMAS
156,RUE,PAUL LAFARGUE
158,RUE,DU DOCTEUR OGE
159,RUE,DU HARAS
160,RUE,DU VALLON
161,AV,DE LA REDOUTE
162,RUE,NATIONALE
163,AV,PASTEUR
164,BD,SAINT SIMON
165,AV,ARISTIDE BRIAND
166,RUE,PAUL BELMONDO
167,RUE,POTTIER
168,AV,DU MIDI
169,RUE,DE LA PLUMERETTE
170,PL,DU PETIT PONT
171,RUE,JEAN JAURES
173,AV,DU PORT AU FOUARRE
174,AV,DE FONTAINEBLEAU
175,RUE,CLAUDE MONET
176,RUE,CAMILLE DESMOULINS
177,RUE,JEAN SACCARD
178,RUE,DE LA FONTAINE
179,AV,SAINTE MARIE
180,RUE,DE LA PAPETERIE
181,RUE,PIERRE BUTIN
182,RUE,DES TARTRES
183,RTE,DE REMIRE (RD2)
184,RUE,DU VERTBOIS
185,RUE,DE LA TREMOILLE
186,PL,DAUPHINE
187,RUE,CHAPON
188,RUE,DES SAINTS PERES
189,RUE,DE DOUAI
190,RUE,TAITBOUT
191,BD,RICHARD LENOIR
192,RUE,KELLER
193,AV,PHILIPPE AUGUSTE
194,RUE,DES MARINIERS
195,RUE,LAURENT PICHAT
196,RUE,RAYNOUARD
197,RUE,DES ACACIAS
198,RUE,DU DEBARCADERE
199,RUE,GUSTAVE DORE
200,RUE,LAMARCK
201,RUE,ETEX
202,RUE,D ANNAM
203,RUE,FREDERICK LEMAITRE
204,RUE,ST LOUIS EN L ILE
206,RUE,DU CHATEAU
208,RUE,THIERS
209,RUE,DES HIRONDELLES (PLAGE)
210,,LES ROSIERS
211,BD,LECCIA
212,RUE,CHATEAUBRIAND
213,RUE,FOUGASSE
214,AV,DE SAINT BARNABE
215,PL,ALBERT SOREL
216,VC,RES LA COTE FLEURIE
217,IMP,DE L OISELIERE
218,,PARKING SAINT GUIREC
219,,LDT SANTA GIULIA
220,RUE,CADROIN
221,RUE,DES JARDINS
222,RUE,EMBOURIANE
223,PL,DE GAULLE
224,AV,DU TOURING CLUB
225,RUE,SAINT ENNEMOND
226,AV,LLOYD GEORGE
227,,KERHILIO
228,AV,MARIE AMELIE
229,RUE,PIERRE DUPONT
230,AV,DU PROGRES
231,RTE,DU CHINAILLON
232,RUE,ANATOLE FRANCE
233,RUE,BENJAMIN FRANKLIN
234,SQ,LE KAIN
236,RUE,DE SOLFERINO
237,RUE,DE BRETAGNE
238,RUE,CASTILLON
239,,MONTEE DU FELIBRIGE
240,AV,JEAN JAURES
241,BD,DU FRONT DE MER
242,RTE,DE LONGPONT
243,SQ,DE L'ALLIANCE
244,BD,ERNEST GIRAULT
245,RUE,SAINTE CROIX
246,RUE,EDGAR QUINET
247,AV,HENRI MARTIN
248,RUE,HENRI BARBUSSE
249,RUE,ARAGO
250,AV,JOSEPH FROMENT
251,RUE,CHARCOT
252,RUE,CASIMIR PINEL
253,RUE,GEORGES SOREL
254,RUE,ALPHONSE PLUCHET
255,RUE,GALLIENI
256,RUE,DE ROMAINVILLE
257,RUE,DELIZY
258,CITE,MONTJOIE
259,RUE,DES CITES
260,RUE,DES SABLONS
261,AV,LIEGEARD
